Date;Open;High;Low;Close;Adj Close;Volume
2018-03-30;5.459780;6.153440;4.916270;6.135380;6.135380;2733
2018-03-31;6.147170;6.241230;5.067850;5.673230;5.673230;9250
2018-04-01;5.673120;6.055470;4.837550;5.609920;5.609920;5357
2018-04-02;5.637030;5.920820;5.244060;5.833090;5.833090;5252
2018-04-03;5.722340;6.350220;4.437560;5.677700;5.677700;18548
2018-04-04;5.677100;6.203510;4.685420;4.891650;4.891650;12137
2018-04-05;4.893710;5.917490;4.738010;5.311400;5.311400;10186
2018-04-06;5.284960;5.486800;4.744890;5.045780;5.045780;3876
2018-04-07;5.047140;6.688470;5.029090;5.823570;5.823570;10401
2018-04-08;5.830740;5.898960;4.724690;4.816070;4.816070;7167
2018-04-09;4.824190;5.588140;4.360370;4.401880;4.401880;5316
2018-04-10;4.407130;9.699650;4.296460;6.010130;6.010130;14309
2018-04-11;6.019120;6.030070;5.066390;5.787350;5.787350;11110
2018-04-12;5.771770;6.820830;5.208130;6.790510;6.790510;8245
2018-04-13;6.799260;7.741290;5.840470;7.187840;7.187840;44594
2018-04-14;7.187830;7.678130;6.630980;7.382900;7.382900;30825
2018-04-15;7.389950;8.719310;7.116930;8.357720;8.357720;44852
2018-04-16;8.355060;11.322600;7.682830;9.713170;9.713170;87346
2018-04-17;9.717100;10.573700;7.540490;8.711270;8.711270;62227
2018-04-18;8.719110;9.911250;8.709490;9.603110;9.603110;15689
2018-04-19;9.610080;11.757200;9.329330;11.621400;11.621400;74694
2018-04-20;11.630200;12.008400;11.091700;11.827500;11.827500;33757
2018-04-21;11.829300;12.620200;10.882900;11.285600;11.285600;35121
2018-04-22;11.285600;12.679200;10.827300;12.162800;12.162800;58233
2018-04-23;12.135100;12.586400;10.273500;10.804400;10.804400;21567
2018-04-24;11.446000;12.570000;11.044800;11.912400;11.912400;26863
2018-04-25;11.854000;12.343300;10.110900;10.462400;10.462400;19777
2018-04-26;10.550500;11.113200;9.783170;11.021700;11.021700;23755
2018-04-27;11.037400;11.119600;8.774000;8.980070;8.980070;36364
2018-04-28;8.939800;9.993410;7.112950;9.147180;9.147180;31793
2018-04-29;7.783020;11.605400;7.677380;9.559040;9.559040;63594
2018-04-30;9.555010;11.120300;7.234920;10.528100;10.528100;65956
2018-05-01;10.535000;10.535000;8.469760;10.182200;10.182200;23711
2018-05-02;10.163900;10.616800;9.280340;9.737910;9.737910;30702
2018-05-03;9.737870;10.152100;9.143900;9.853570;9.853570;14255
2018-05-04;9.849710;10.478000;8.966560;10.298500;10.298500;10523
2018-05-05;10.294500;10.483800;6.721060;8.296200;8.296200;58059
2018-05-06;8.301710;8.740430;7.462530;8.451210;8.451210;9115
2018-05-07;8.771340;8.862210;7.685190;8.403760;8.403760;16652
2018-05-08;8.421740;8.487340;7.619940;7.721850;7.721850;5295
2018-05-09;7.710150;8.309650;6.949160;8.030360;8.030360;10086
2018-05-10;8.031230;8.580810;7.503740;8.336940;8.336940;9000
2018-05-11;8.345880;8.954510;6.710870;7.099060;7.099060;4544
2018-05-12;7.078340;8.195320;6.735890;8.195320;8.195320;15664
2018-05-13;8.192010;8.674290;6.906130;8.182020;8.182020;31120
2018-05-14;8.199080;8.604020;7.548760;8.457580;8.457580;12071
2018-05-15;8.430910;8.713510;7.316650;7.411690;7.411690;12833
2018-05-16;7.522420;8.184960;6.943070;8.000550;8.000550;5844
2018-05-17;8.005440;9.189800;7.244890;7.260220;7.260220;15050
2018-05-18;7.263280;7.656330;6.515690;7.014130;7.014130;10476
2018-05-19;7.010880;7.729800;6.860010;7.463900;7.463900;3477
2018-05-20;7.467770;8.013500;6.890240;8.013060;8.013060;12035
2018-05-21;8.023090;8.175870;7.557730;7.670930;7.670930;6641
2018-05-22;7.669550;8.079880;6.418700;6.423690;6.423690;19350
2018-05-23;6.416460;7.488230;5.985560;6.347130;6.347130;1652
2018-05-24;6.331120;6.808330;3.989170;5.396340;5.396340;13540
2018-05-25;5.406420;6.581120;5.405930;5.644810;5.644810;17692
2018-05-26;5.635120;6.319640;5.554710;6.303550;6.303550;6608
2018-05-27;6.308440;6.710000;5.703190;5.829830;5.829830;2530
2018-05-28;5.830950;5.833650;4.591050;5.609790;5.609790;36077
2018-05-29;5.607960;6.624040;5.128710;6.564310;6.564310;9035
2018-05-30;6.551670;6.708100;5.430020;6.218650;6.218650;7718
2018-05-31;6.216860;6.818520;5.705050;6.645920;6.645920;7918
2018-06-01;6.656900;6.818760;5.215650;5.221750;5.221750;26333
2018-06-02;5.219550;6.111320;5.176190;5.623720;5.623720;22239
